ts_code:ID(Company),name:string,area:string,industry:string,fullname:string,list_date:date,:LABEL
000001.SZ,平安银行,深圳,银行,平安银行股份有限公司,1991-04-03,Company
000002.SZ,万科A,深圳,全国地产,万科企业股份有限公司,1991-01-29,Company
000004.SZ,国农科技,深圳,生物制药,深圳中国农大科技股份有限公司,1991-01-14,Company
000005.SZ,世纪星源,深圳,环境保护,深圳世纪星源股份有限公司,1990-12-10,Company
000006.SZ,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,1992-04-27,Company
000007.SZ,全新好,深圳,酒店餐饮,深圳市全新好股份有限公司,1992-04-13,Company
000008.SZ,神州高铁,北京,运输设备,神州高铁技术股份有限公司,1992-05-07,Company
000009.SZ,中国宝安,深圳,综合类,中国宝安集团股份有限公司,1991-06-25,Company
000010.SZ,*ST美丽,深圳,建筑工程,深圳美丽生态股份有限公司,1995-10-27,Company
000011.SZ,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,1992-03-30,Company
000012.SZ,南玻A,深圳,玻璃,中国南玻集团股份有限公司,1992-02-28,Company
000014.SZ,沙河股份,深圳,全国地产,沙河实业股份有限公司,1992-06-02,Company
000016.SZ,深康佳A,深圳,家用电器,康佳集团股份有限公司,1992-03-27,Company
000017.SZ,*ST中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,1992-03-31,Company
000019.SZ,深粮控股,深圳,其他商业,深圳市深粮控股股份有限公司,1992-10-12,Company
000020.SZ,深华发A,深圳,元器件,深圳中恒华发股份有限公司,1992-04-28,Company
000021.SZ,深科技,深圳,IT设备,深圳长城开发科技股份有限公司,1994-02-02,Company
000023.SZ,深天地A,深圳,其他建材,深圳市天地(集团)股份有限公司,1993-04-29,Company
000025.SZ,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,1993-06-21,Company
000026.SZ,飞亚达,深圳,其他商业,飞亚达精密科技股份有限公司,1993-06-03,Company
000027.SZ,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,1993-09-03,Company
000028.SZ,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,1993-08-09,Company
000029.SZ,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,1993-09-15,Company
000030.SZ,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,1993-09-29,Company
000031.SZ,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,1993-10-08,Company
000032.SZ,深桑达A,深圳,元器件,深圳市桑达实业股份有限公司,1993-10-28,Company
000034.SZ,神州数码,深圳,综合类,神州数码集团股份有限公司,1994-05-09,Company
000035.SZ,中国天楹,江苏,环境保护,中国天楹股份有限公司,1994-04-08,Company
000036.SZ,华联控股,深圳,全国地产,华联控股股份有限公司,1994-06-17,Company
000037.SZ,深南电A,深圳,火力发电,深圳南山热电股份有限公司,1994-07-01,Company
000038.SZ,深大通,深圳,广告包装,深圳大通实业股份有限公司,1994-08-08,Company
000039.SZ,中集集团,深圳,轻工机械,中国国际海运集装箱(集团)股份有限公司,1994-04-08,Company
000040.SZ,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,1994-08-08,Company
000042.SZ,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,1994-09-21,Company
000045.SZ,深纺织A,深圳,元器件,深圳市纺织(集团)股份有限公司,1994-08-15,Company
000046.SZ,泛海控股,北京,多元金融,泛海控股股份有限公司,1994-09-12,Company
000048.SZ,京基智农,深圳,饲料,深圳市京基智农时代股份有限公司,1994-11-01,Company
000049.SZ,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,1995-03-20,Company
000050.SZ,深天马A,深圳,元器件,天马微电子股份有限公司,1995-03-15,Company
000055.SZ,方大集团,深圳,其他建材,方大集团股份有限公司,1996-04-15,Company
000056.SZ,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,1996-07-08,Company
000058.SZ,深赛格,深圳,元器件,深圳赛格股份有限公司,1996-12-26,Company
000059.SZ,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,1997-01-30,Company
000060.SZ,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,1997-01-23,Company
000061.SZ,农产品,深圳,农业综合,深圳市农产品集团股份有限公司,1997-01-10,Company
000062.SZ,深圳华强,深圳,批发业,深圳华强实业股份有限公司,1997-01-30,Company
000063.SZ,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,1997-11-18,Company
000065.SZ,北方国际,北京,建筑工程,北方国际合作股份有限公司,1998-06-05,Company
000066.SZ,中国长城,深圳,IT设备,中国长城科技集团股份有限公司,1997-06-26,Company
000068.SZ,华控赛格,深圳,环境保护,深圳华控赛格股份有限公司,1997-06-11,Company
000069.SZ,华侨城A,深圳,旅游景点,深圳华侨城股份有限公司,1997-09-10,Company
000070.SZ,特发信息,深圳,通信设备,深圳市特发信息股份有限公司,2000-05-11,Company
000078.SZ,海王生物,深圳,医药商业,深圳市海王生物工程股份有限公司,1998-12-18,Company
000088.SZ,盐田港,深圳,港口,深圳市盐田港股份有限公司,1997-07-28,Company
000089.SZ,深圳机场,深圳,机场,深圳市机场股份有限公司,1998-04-20,Company
000090.SZ,天健集团,深圳,建筑工程,深圳市天健(集团)股份有限公司,1999-07-21,Company
000096.SZ,广聚能源,深圳,石油贸易,深圳市广聚能源股份有限公司,2000-07-24,Company
000099.SZ,中信海直,深圳,空运,中信海洋直升机股份有限公司,2000-07-31,Company
000100.SZ,TCL科技,广东,元器件,TCL科技集团股份有限公司,2004-01-30,Company
000150.SZ,宜华健康,广东,医疗保健,宜华健康医疗股份有限公司,2000-08-07,Company
000151.SZ,中成股份,北京,商贸代理,中成进出口股份有限公司,2000-09-06,Company
000153.SZ,丰原药业,安徽,化学制药,安徽丰原药业股份有限公司,2000-09-20,Company
000155.SZ,川能动力,四川,新型电力,四川省新能源动力股份有限公司,2000-09-26,Company
000156.SZ,华数传媒,浙江,影视音像,华数传媒控股股份有限公司,2000-09-06,Company
000157.SZ,中联重科,湖南,工程机械,中联重科股份有限公司,2000-10-12,Company
000158.SZ,常山北明,河北,软件服务,石家庄常山北明科技股份有限公司,2000-07-24,Company
000159.SZ,国际实业,新疆,石油贸易,新疆国际实业股份有限公司,2000-09-26,Company
000166.SZ,申万宏源,新疆,证券,申万宏源集团股份有限公司,2015-01-26,Company
000301.SZ,东方盛虹,江苏,化纤,江苏东方盛虹股份有限公司,2000-05-29,Company
000333.SZ,美的集团,广东,家用电器,美的集团股份有限公司,2013-09-18,Company
000338.SZ,潍柴动力,山东,汽车配件,潍柴动力股份有限公司,2007-04-30,Company
000400.SZ,许继电气,河南,电气设备,许继电气股份有限公司,1997-04-18,Company
000401.SZ,冀东水泥,河北,水泥,唐山冀东水泥股份有限公司,1996-06-14,Company
000402.SZ,金融街,北京,全国地产,金融街控股股份有限公司,1996-06-26,Company
000403.SZ,双林生物,山西,生物制药,南方双林生物制药股份有限公司,1996-06-28,Company
000404.SZ,长虹华意,江西,专用机械,长虹华意压缩机股份有限公司,1996-06-19,Company
000407.SZ,胜利股份,山东,供气供热,山东胜利股份有限公司,1996-07-03,Company
000408.SZ,*ST藏格,青海,农药化肥,藏格控股股份有限公司,1996-06-28,Company
000409.SZ,ST地矿,山东,综合类,山东地矿股份有限公司,1996-06-27,Company
000410.SZ,*ST沈机,辽宁,机床制造,沈阳机床股份有限公司,1996-07-18,Company
000411.SZ,英特集团,浙江,医药商业,浙江英特集团股份有限公司,1996-07-16,Company
000413.SZ,东旭光电,河北,元器件,东旭光电科技股份有限公司,1996-09-25,Company
000415.SZ,渤海租赁,新疆,多元金融,渤海租赁股份有限公司,1996-07-16,Company
000416.SZ,民生控股,山东,多元金融,民生控股股份有限公司,1996-07-19,Company
000417.SZ,合肥百货,安徽,百货,合肥百货大楼集团股份有限公司,1996-08-12,Company
000419.SZ,通程控股,湖南,百货,长沙通程控股股份有限公司,1996-08-16,Company
000420.SZ,吉林化纤,吉林,化纤,吉林化纤股份有限公司,1996-08-02,Company
000421.SZ,南京公用,江苏,供气供热,南京公用发展股份有限公司,1996-08-06,Company
000422.SZ,ST宜化,湖北,农药化肥,湖北宜化化工股份有限公司,1996-08-15,Company
000423.SZ,东阿阿胶,山东,中成药,东阿阿胶股份有限公司,1996-07-29,Company
000425.SZ,徐工机械,江苏,工程机械,徐工集团工程机械股份有限公司,1996-08-28,Company
000426.SZ,兴业矿业,内蒙,铅锌,内蒙古兴业矿业股份有限公司,1996-08-28,Company
000428.SZ,华天酒店,湖南,酒店餐饮,华天酒店集团股份有限公司,1996-08-08,Company
000429.SZ,粤高速A,广东,路桥,广东省高速公路发展股份有限公司,1998-02-20,Company
000430.SZ,张家界,湖南,旅游景点,张家界旅游集团股份有限公司,1996-08-29,Company
000488.SZ,晨鸣纸业,山东,造纸,山东晨鸣纸业集团股份有限公司,2000-11-20,Company
000498.SZ,山东路桥,山东,建筑工程,山东高速路桥集团股份有限公司,1997-06-09,Company
000501.SZ,鄂武商A,湖北,百货,武汉武商集团股份有限公司,1992-11-20,Company
000502.SZ,绿景控股,广东,医疗保健,绿景控股股份有限公司,1992-11-23,Company
000503.SZ,国新健康,海南,医疗保健,国新健康保障服务集团股份有限公司,1992-11-30,Company
000504.SZ,*ST生物,湖南,环境保护,南华生物医药股份有限公司,1992-12-08,Company
000505.SZ,京粮控股,海南,食品,海南京粮控股股份有限公司,1992-12-21,Company
000506.SZ,中润资源,山东,黄金,中润资源投资股份有限公司,1993-03-12,Company
000507.SZ,珠海港,广东,港口,珠海港股份有限公司,1993-03-26,Company
000509.SZ,*ST华塑,四川,其他建材,华塑控股股份有限公司,1993-05-07,Company
000510.SZ,新金路,四川,化工原料,四川新金路集团股份有限公司,1993-05-07,Company
000513.SZ,丽珠集团,广东,化学制药,丽珠医药集团股份有限公司,1993-10-28,Company
000514.SZ,渝开发,重庆,区域地产,重庆渝开发股份有限公司,1993-07-12,Company
000516.SZ,国际医学,陕西,医疗保健,西安国际医学投资股份有限公司,1993-08-09,Company
000517.SZ,荣安地产,浙江,区域地产,荣安地产股份有限公司,1993-08-06,Company
000518.SZ,四环生物,江苏,生物制药,江苏四环生物股份有限公司,1993-09-08,Company
000519.SZ,中兵红箭,湖南,矿物制品,中兵红箭股份有限公司,1993-10-08,Company
000520.SZ,长航凤凰,湖北,水运,长航凤凰股份有限公司,1993-10-25,Company
000521.SZ,长虹美菱,安徽,家用电器,长虹美菱股份有限公司,1993-10-18,Company
000523.SZ,广州浪奇,广东,日用化工,广州市浪奇实业股份有限公司,1993-11-08,Company
000524.SZ,岭南控股,广东,酒店餐饮,广州岭南集团控股股份有限公司,1993-11-18,Company
000525.SZ,红太阳,江苏,农药化肥,南京红太阳股份有限公司,1993-10-28,Company
000526.SZ,紫光学大,福建,文教休闲,厦门紫光学大股份有限公司,1993-11-01,Company
000528.SZ,柳工,广西,工程机械,广西柳工机械股份有限公司,1993-11-18,Company
000529.SZ,广弘控股,广东,食品,广东广弘控股股份有限公司,1993-11-18,Company
000530.SZ,冰山冷热,辽宁,机械基件,冰山冷热科技股份有限公司,1993-12-08,Company
000531.SZ,穗恒运A,广东,火力发电,广州恒运企业集团股份有限公司,1994-01-06,Company
000532.SZ,华金资本,广东,多元金融,珠海华金资本股份有限公司,1994-01-03,Company
000533.SZ,顺钠股份,广东,电气设备,广东顺钠电气股份有限公司,1994-01-03,Company
000534.SZ,万泽股份,广东,生物制药,万泽实业股份有限公司,1994-01-10,Company
000536.SZ,*ST华映,福建,元器件,华映科技(集团)股份有限公司,1993-11-26,Company
000537.SZ,广宇发展,天津,区域地产,天津广宇发展股份有限公司,1993-12-10,Company
000538.SZ,云南白药,云南,中成药,云南白药集团股份有限公司,1993-12-15,Company
000539.SZ,粤电力A,广东,火力发电,广东电力发展股份有限公司,1993-11-26,Company
000540.SZ,中天金融,贵州,多元金融,中天金融集团股份有限公司,1994-02-02,Company
000541.SZ,佛山照明,广东,家用电器,佛山电器照明股份有限公司,1993-11-23,Company
000543.SZ,皖能电力,安徽,火力发电,安徽省皖能股份有限公司,1993-12-20,Company
000544.SZ,中原环保,河南,环境保护,中原环保股份有限公司,1993-12-08,Company
000545.SZ,金浦钛业,吉林,化工原料,金浦钛业股份有限公司,1993-12-15,Company
000546.SZ,金圆股份,吉林,水泥,金圆环保股份有限公司,1993-12-15,Company
000547.SZ,航天发展,福建,通信设备,航天工业发展股份有限公司,1993-11-30,Company
000548.SZ,湖南投资,湖南,路桥,湖南投资集团股份有限公司,1993-12-20,Company
000550.SZ,江铃汽车,江西,汽车整车,江铃汽车股份有限公司,1993-12-01,Company
000551.SZ,创元科技,江苏,专用机械,创元科技股份有限公司,1994-01-06,Company
000552.SZ,靖远煤电,甘肃,煤炭开采,甘肃靖远煤电股份有限公司,1994-01-06,Company
000553.SZ,安道麦A,湖北,农药化肥,安道麦股份有限公司,1993-12-03,Company
000554.SZ,泰山石油,山东,石油贸易,中国石化山东泰山石油股份有限公司,1993-12-15,Company
000555.SZ,神州信息,深圳,软件服务,神州数码信息服务股份有限公司,1994-04-08,Company
000557.SZ,西部创业,宁夏,铁路,宁夏西部创业实业股份有限公司,1994-06-17,Company
000558.SZ,莱茵体育,浙江,文教休闲,莱茵达体育发展股份有限公司,1994-05-09,Company
000559.SZ,万向钱潮,浙江,汽车配件,万向钱潮股份有限公司,1994-01-10,Company
000560.SZ,我爱我家,云南,房产服务,我爱我家控股集团股份有限公司,1994-02-02,Company
000561.SZ,烽火电子,陕西,通信设备,陕西烽火电子股份有限公司,1994-05-09,Company
