:END_ID(Concept),:START_ID(Company),:TYPE
TS0,000301.SZ,in_concept
TS0,000401.SZ,in_concept
TS0,000932.SZ,in_concept
TS0,002013.SZ,in_concept
TS0,002106.SZ,in_concept
TS0,002214.SZ,in_concept
TS0,002410.SZ,in_concept
TS0,002449.SZ,in_concept
TS0,002516.SZ,in_concept
TS0,002555.SZ,in_concept
TS0,002579.SZ,in_concept
TS0,002669.SZ,in_concept
TS0,002698.SZ,in_concept
TS0,002713.SZ,in_concept
TS0,002717.SZ,in_concept
TS0,002771.SZ,in_concept
TS0,002950.SZ,in_concept
TS0,002973.SZ,in_concept
TS0,300031.SZ,in_concept
TS0,300075.SZ,in_concept
TS0,300123.SZ,in_concept
TS0,300133.SZ,in_concept
TS0,300235.SZ,in_concept
TS0,300294.SZ,in_concept
TS0,300342.SZ,in_concept
TS0,300387.SZ,in_concept
TS0,300388.SZ,in_concept
TS0,300395.SZ,in_concept
TS0,300447.SZ,in_concept
TS0,300448.SZ,in_concept
TS0,300459.SZ,in_concept
TS0,300483.SZ,in_concept
TS0,300558.SZ,in_concept
TS0,300645.SZ,in_concept
TS0,300662.SZ,in_concept
TS0,300664.SZ,in_concept
TS0,300674.SZ,in_concept
TS0,600373.SH,in_concept
TS0,603898.SH,in_concept
TS1,300003.SZ,in_concept
TS1,300516.SZ,in_concept
TS1,300527.SZ,in_concept
TS1,600072.SH,in_concept
TS1,600150.SH,in_concept
TS1,600482.SH,in_concept
TS1,600685.SH,in_concept
TS1,600764.SH,in_concept
TS1,601919.SH,in_concept
TS1,601989.SH,in_concept
TS2,000008.SZ,in_concept
TS2,000063.SZ,in_concept
TS2,000070.SZ,in_concept
TS2,000586.SZ,in_concept
TS2,000636.SZ,in_concept
TS2,000810.SZ,in_concept
TS2,000818.SZ,in_concept
TS2,000836.SZ,in_concept
TS2,000890.SZ,in_concept
TS2,000917.SZ,in_concept
TS2,000938.SZ,in_concept
TS2,000988.SZ,in_concept
TS2,002017.SZ,in_concept
TS2,002023.SZ,in_concept
TS2,002089.SZ,in_concept
TS2,002093.SZ,in_concept
TS2,002115.SZ,in_concept
TS2,002138.SZ,in_concept
TS2,002151.SZ,in_concept
TS2,002179.SZ,in_concept
TS2,002194.SZ,in_concept
TS2,002217.SZ,in_concept
TS2,002229.SZ,in_concept
TS2,002231.SZ,in_concept
TS2,002281.SZ,in_concept
TS2,002309.SZ,in_concept
TS2,002313.SZ,in_concept
TS2,002364.SZ,in_concept
TS2,002384.SZ,in_concept
TS2,002396.SZ,in_concept
TS2,002402.SZ,in_concept
TS2,002446.SZ,in_concept
TS2,002475.SZ,in_concept
TS2,002484.SZ,in_concept
TS2,002491.SZ,in_concept
TS2,002528.SZ,in_concept
TS2,002544.SZ,in_concept
TS2,002547.SZ,in_concept
TS2,002579.SZ,in_concept
TS2,002725.SZ,in_concept
TS2,002786.SZ,in_concept
TS2,002792.SZ,in_concept
TS2,002796.SZ,in_concept
TS2,002815.SZ,in_concept
TS2,002837.SZ,in_concept
TS2,002848.SZ,in_concept
TS2,002860.SZ,in_concept
TS2,002885.SZ,in_concept
TS2,002886.SZ,in_concept
TS2,002889.SZ,in_concept
TS2,002897.SZ,in_concept
TS2,002902.SZ,in_concept
TS2,002927.SZ,in_concept
TS2,002929.SZ,in_concept
TS2,300025.SZ,in_concept
TS2,300050.SZ,in_concept
TS2,300079.SZ,in_concept
TS2,300123.SZ,in_concept
TS2,300134.SZ,in_concept
TS2,300136.SZ,in_concept
TS2,300209.SZ,in_concept
TS2,300217.SZ,in_concept
TS2,300250.SZ,in_concept
TS2,300252.SZ,in_concept
TS2,300259.SZ,in_concept
TS2,300265.SZ,in_concept
TS2,300292.SZ,in_concept
TS2,300299.SZ,in_concept
TS2,300308.SZ,in_concept
TS2,300310.SZ,in_concept
TS2,300312.SZ,in_concept
TS2,300319.SZ,in_concept
TS2,300322.SZ,in_concept
TS2,300324.SZ,in_concept
TS2,300366.SZ,in_concept
TS2,300379.SZ,in_concept
TS2,300394.SZ,in_concept
TS2,300395.SZ,in_concept
TS2,300397.SZ,in_concept
TS2,300408.SZ,in_concept
TS2,300414.SZ,in_concept
TS2,300493.SZ,in_concept
TS2,300502.SZ,in_concept
TS2,300504.SZ,in_concept
TS2,300513.SZ,in_concept
TS2,300537.SZ,in_concept
TS2,300548.SZ,in_concept
TS2,300560.SZ,in_concept
TS2,300563.SZ,in_concept
TS2,300565.SZ,in_concept
TS2,300570.SZ,in_concept
TS2,300590.SZ,in_concept
TS2,300593.SZ,in_concept
TS2,300597.SZ,in_concept
TS2,300602.SZ,in_concept
TS2,300615.SZ,in_concept
TS2,300620.SZ,in_concept
TS2,300629.SZ,in_concept
TS2,300635.SZ,in_concept
TS2,300638.SZ,in_concept
TS2,300679.SZ,in_concept
TS2,300684.SZ,in_concept
TS2,300698.SZ,in_concept
TS2,300710.SZ,in_concept
TS2,300711.SZ,in_concept
TS2,300726.SZ,in_concept
TS2,600050.SH,in_concept
TS2,600105.SH,in_concept
TS2,600198.SH,in_concept
TS2,600260.SH,in_concept
TS2,600289.SH,in_concept
TS2,600345.SH,in_concept
TS2,600487.SH,in_concept
TS2,600498.SH,in_concept
TS2,600522.SH,in_concept
TS2,600703.SH,in_concept
TS2,600745.SH,in_concept
TS2,600775.SH,in_concept
TS2,600776.SH,in_concept
TS2,600804.SH,in_concept
TS2,600933.SH,in_concept
TS2,601869.SH,in_concept
TS2,603042.SH,in_concept
TS2,603083.SH,in_concept
TS2,603118.SH,in_concept
TS2,603186.SH,in_concept
TS2,603203.SH,in_concept
TS2,603220.SH,in_concept
TS2,603236.SH,in_concept
TS2,603322.SH,in_concept
TS2,603559.SH,in_concept
TS2,603602.SH,in_concept
TS2,603618.SH,in_concept
TS2,603678.SH,in_concept
TS2,603679.SH,in_concept
TS2,603803.SH,in_concept
TS2,603912.SH,in_concept
TS2,603991.SH,in_concept
TS2,688020.SH,in_concept
TS3,000089.SZ,in_concept
TS3,600004.SH,in_concept
TS3,600009.SH,in_concept
TS3,600897.SH,in_concept
TS4,000596.SZ,in_concept
TS4,000661.SZ,in_concept
TS4,000858.SZ,in_concept
TS4,002304.SZ,in_concept
TS4,002371.SZ,in_concept
TS4,002714.SZ,in_concept
TS4,002821.SZ,in_concept
TS4,002912.SZ,in_concept
TS4,002916.SZ,in_concept
TS4,002970.SZ,in_concept
TS4,300033.SZ,in_concept
TS4,300223.SZ,in_concept
TS4,300454.SZ,in_concept
TS4,300598.SZ,in_concept
TS4,300601.SZ,in_concept
TS4,300613.SZ,in_concept
TS4,300661.SZ,in_concept
TS4,300709.SZ,in_concept
TS4,300747.SZ,in_concept
TS4,300750.SZ,in_concept
TS4,300751.SZ,in_concept
TS4,300760.SZ,in_concept
TS4,300769.SZ,in_concept
TS4,300770.SZ,in_concept
TS4,300776.SZ,in_concept
TS4,300782.SZ,in_concept
TS4,300785.SZ,in_concept
TS4,300792.SZ,in_concept
TS4,300799.SZ,in_concept
TS4,600436.SH,in_concept
TS4,600519.SH,in_concept
TS4,600745.SH,in_concept
TS4,600763.SH,in_concept
TS4,603068.SH,in_concept
TS4,603160.SH,in_concept
TS4,603195.SH,in_concept
TS4,603236.SH,in_concept
TS4,603259.SH,in_concept
TS4,603288.SH,in_concept
TS4,603444.SH,in_concept
TS4,603489.SH,in_concept
TS4,603501.SH,in_concept
TS4,603605.SH,in_concept
TS4,603658.SH,in_concept
TS4,603833.SH,in_concept
TS4,603986.SH,in_concept
TS5,000422.SZ,in_concept
TS5,000510.SZ,in_concept
TS5,000635.SZ,in_concept
TS5,000698.SZ,in_concept
TS5,000818.SZ,in_concept
TS5,002092.SZ,in_concept
TS5,002386.SZ,in_concept
TS5,002748.SZ,in_concept
TS5,600075.SH,in_concept
TS5,600160.SH,in_concept
TS5,600273.SH,in_concept
TS5,600277.SH,in_concept
TS5,600295.SH,in_concept
TS5,600319.SH,in_concept
TS5,600389.SH,in_concept
TS5,600409.SH,in_concept
TS5,600618.SH,in_concept
TS5,600929.SH,in_concept
TS5,601216.SH,in_concept
TS5,601678.SH,in_concept
TS6,600585.SH,in_concept
TS7,000627.SZ,in_concept
TS7,600291.SH,in_concept
TS7,601318.SH,in_concept
TS7,601319.SH,in_concept
TS7,601336.SH,in_concept
TS7,601601.SH,in_concept
