concept_code:ID(Concept),concept_name:string,:LABEL
TS0,密集调研,Concept
TS1,南北船合并,Concept
TS2,5G,Concept
TS3,机场,Concept
TS4,高价股,Concept
TS5,烧碱,Concept
TS6,AH溢价股,Concept
TS7,保险,Concept
TS8,PVC,Concept
TS9,啤酒,Concept
TS10,火电,Concept
TS11,银行,Concept
TS12,碳纤维,Concept
TS13,安邦系,Concept
TS14,特高压,Concept
TS16,光通信,Concept
TS17,草甘膦,Concept
TS18,高速公路,Concept
TS19,有色-铝,Concept
TS20,有色-锆,Concept
TS21,主题公园,Concept
TS22,白马股,Concept
TS23,雄安-地产,Concept
TS24,OLED,Concept
TS25,MSCI,Concept
TS26,健康中国,Concept
TS27,养老金持股,Concept
TS28,水电,Concept
TS29,环氧丙烷,Concept
TS30,PCB板,Concept
TS31,煤炭,Concept
TS32,中字头,Concept
TS33,血制品,Concept
TS34,钢铁,Concept
TS35,油服,Concept
TS36,内蒙古,Concept
TS37,券商,Concept
TS38,有色-锌,Concept
TS39,人民币升值受益,Concept
TS40,阿里巴巴概念股,Concept
TS41,有色-锑,Concept
TS42,海工装备,Concept
TS43,新能源整车,Concept
TS44,涤纶,Concept
TS45,振兴东北,Concept
TS46,有色-镁,Concept
TS47,油气改革,Concept
TS48,一带一路,Concept
TS49,新进指数成份股,Concept
TS50,玻纤,Concept
TS51,大消费,Concept
TS52,被动元件,Concept
TS53,北汽新能源,Concept
TS54,可燃冰,Concept
TS55,东盟博览会,Concept
TS56,电改,Concept
TS57,石墨电极,Concept
TS58,北京城市规划,Concept
TS59,特斯拉,Concept
TS60,赛马,Concept
TS61,航运,Concept
TS62,金改,Concept
TS63,超级高铁,Concept
TS64,农药,Concept
TS65,汽车整车,Concept
TS66,次新股,Concept
TS67,安徽国企改革,Concept
TS68,水务,Concept
TS69,混改,Concept
TS70,PD-1抑制剂,Concept
TS71,二胎,Concept
TS72,固废处理,Concept
TS73,医药商业,Concept
TS74,教育,Concept
TS75,军工混改,Concept
TS76,海底捞概念股,Concept
