:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Holder),:TYPE
000001.SZ,2020-04-21,中国平安保险(集团)股份有限公司-集团本级-自有资金,49.56,0,top10_holder
000001.SZ,2020-04-21,香港中央结算有限公司(陆股通),8.6,1,top10_holder
000001.SZ,2020-04-21,中国平安人寿保险股份有限公司-自有资金,6.11,2,top10_holder
000001.SZ,2020-04-21,中国平安人寿保险股份有限公司-传统-普通保险产品,2.27,2,top10_holder
000001.SZ,2020-04-21,中国证券金融股份有限公司,2.21,3,top10_holder
000001.SZ,2020-04-21,中央汇金资产管理有限责任公司,1.11,4,top10_holder
000001.SZ,2020-04-21,深圳中电投资股份有限公司,0.84,5,top10_holder
000001.SZ,2020-04-21,河南鸿宝企业管理有限公司,0.53,6,top10_holder
000001.SZ,2020-04-21,全国社保基金一一七组合,0.49,7,top10_holder
000001.SZ,2020-04-21,交通银行-易方达50指数证券投资基金,0.31,8,top10_holder
000002.SZ,2020-04-28,深圳市地铁集团有限公司,28.69,9,top10_holder
000002.SZ,2020-04-28,香港中央结算(代理人)有限公司,13.96,1,top10_holder
000002.SZ,2020-04-28,香港中央结算有限公司(陆股通),4.16,1,top10_holder
000002.SZ,2020-04-28,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,4.04,10,top10_holder
000002.SZ,2020-04-28,安邦人寿保险股份有限公司-保守型投资组合,2.61,11,top10_holder
000002.SZ,2020-04-28,中央汇金资产管理有限责任公司,1.68,4,top10_holder
000002.SZ,2020-04-28,招商财富-招商银行-德赢1号专项资产管理计划,1.29,12,top10_holder
000002.SZ,2020-04-28,中国证券金融股份有限公司,1.17,3,top10_holder
000002.SZ,2020-04-28,深圳市钜盛华股份有限公司,1.14,13,top10_holder
000002.SZ,2020-04-28,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,1.13,14,top10_holder
000004.SZ,2020-04-28,青岛海尔创业投资有限责任公司-群岛千帆(青岛)股权投资中心(有限合伙),2.19,15,top10_holder
000004.SZ,2020-04-28,深圳市达晨财智创业投资管理有限公司-深圳市达晨创通股权投资企业(有限合伙),2.3,16,top10_holder
000004.SZ,2020-04-28,郭训平,2.67,17,top10_holder
000004.SZ,2020-04-28,中科汇通(深圳)股权投资基金有限公司,3.05,18,top10_holder
000004.SZ,2020-04-28,中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金,3.53,19,top10_holder
000004.SZ,2020-04-28,珠海横琴普源科技合伙企业(有限合伙),6.58,20,top10_holder
000004.SZ,2020-04-28,北京中关村大河资本投资管理中心(有限合伙)-北京中关村并购母基金投资中心(有限合伙),9.23,21,top10_holder
000004.SZ,2020-04-28,彭瀛,9.88,22,top10_holder
000004.SZ,2020-04-28,深圳中农大科技投资有限公司,14.47,23,top10_holder
000004.SZ,2020-04-28,深圳市睿鸿置业发展有限公司,7.88,24,top10_holder
000004.SZ,2020-04-28,李林琳,1.57,25,top10_holder
000004.SZ,2020-04-28,顾青,3.01,26,top10_holder
000004.SZ,2020-04-28,宁波津原投资有限公司,2.48,27,top10_holder
000004.SZ,2020-04-28,谢林波,1.59,28,top10_holder
000004.SZ,2020-04-28,周建新,2.43,29,top10_holder
000004.SZ,2020-04-28,汪国新,1.79,30,top10_holder
000004.SZ,2020-04-28,深圳丰盈传褀资产管理有限公司-丰盈传褀一期,1.75,31,top10_holder
000004.SZ,2020-04-28,国华人寿保险股份有限公司-万能三号,5.01,32,top10_holder
000005.SZ,2020-04-30,深圳市博睿意碳源科技有限公司,4.53,33,top10_holder
000005.SZ,2020-04-30,陈栩,1.91,34,top10_holder
000005.SZ,2020-04-30,许培雅,1.87,35,top10_holder
000005.SZ,2020-04-30,陈振新,0.62,36,top10_holder
000005.SZ,2020-04-30,杭州环博投资有限公司,0.58,37,top10_holder
000005.SZ,2020-04-30,杭州钱江中小企业创业投资有限公司,0.41,38,top10_holder
000005.SZ,2020-04-30,上海泽添资产管理中心(有限合伙)-泽熙投资基金1号私募投资基金,0.39,39,top10_holder
000005.SZ,2020-04-30,上海勤幸投资管理中心(有限合伙),0.35,40,top10_holder
000005.SZ,2020-04-30,陈青俊,0.35,41,top10_holder
000005.SZ,2020-04-30,中国投资有限公司,17.41,42,top10_holder
000005.SZ,2020-04-30,禹宙,0.57,43,top10_holder
000005.SZ,2020-04-30,中原证券股份有限公司,0.88,44,top10_holder
000006.SZ,2020-04-30,深圳市人民政府国有资产监督管理委员会,21.93,45,top10_holder
000006.SZ,2020-04-30,深圳市资本运营集团有限公司,14.07,46,top10_holder
000006.SZ,2020-04-30,中央汇金资产管理有限责任公司,3.51,4,top10_holder
000006.SZ,2020-04-30,香港中央结算有限公司(陆股通),1.13,1,top10_holder
000006.SZ,2020-04-30,中国证券金融股份有限公司,1.08,3,top10_holder
000006.SZ,2020-04-30,廖晔,0.65,47,top10_holder
000006.SZ,2020-04-30,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.64,48,top10_holder
000006.SZ,2020-04-30,张德锋,0.51,49,top10_holder
000006.SZ,2020-04-30,刘瑶,0.47,50,top10_holder
000006.SZ,2020-04-30,曾运龙,0.37,51,top10_holder
000007.SZ,2020-04-30,汉富控股有限公司,21.65,52,top10_holder
000007.SZ,2020-04-30,深圳市博恒投资有限公司,10.82,53,top10_holder
000007.SZ,2020-04-30,陈卓婷,3.89,54,top10_holder
000007.SZ,2020-04-30,林昌珍,2.83,55,top10_holder
000007.SZ,2020-04-30,陆尔东,2.18,56,top10_holder
000007.SZ,2020-04-30,李强,2.13,57,top10_holder
000007.SZ,2020-04-30,李钢钢,1.37,58,top10_holder
000007.SZ,2020-04-30,南通三明时装有限公司,0.97,59,top10_holder
000007.SZ,2020-04-30,张明雪,0.79,60,top10_holder
000007.SZ,2020-04-30,阳德惠,0.7,61,top10_holder
000008.SZ,2020-04-30,中国国投高新产业投资有限公司,23.25,62,top10_holder
000008.SZ,2020-04-30,北京市海淀区国有资产投资经营有限公司,12.59,63,top10_holder
000008.SZ,2020-04-30,宋黎明,1.41,64,top10_holder
000008.SZ,2020-04-30,冯骏驹,1.12,65,top10_holder
000008.SZ,2020-04-30,青岛城投金融控股集团有限公司,1.1,66,top10_holder
000008.SZ,2020-04-30,香港中央结算有限公司(陆股通),0.86,1,top10_holder
000008.SZ,2020-04-30,全国社保基金六零四组合,0.77,67,top10_holder
000008.SZ,2020-04-30,王志全,4.13,68,top10_holder
000008.SZ,2020-04-30,鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,1.27,69,top10_holder
000008.SZ,2020-04-30,鹏华资产-浦发银行-鹏华资产金润28号资产管理计划,1.16,69,top10_holder
000009.SZ,2020-04-29,吴海涛,0.42,70,top10_holder
000009.SZ,2020-04-29,全国社保基金五零三组合,0.95,71,top10_holder
000009.SZ,2020-04-29,深圳市富安控股有限公司,11.91,72,top10_holder
000009.SZ,2020-04-29,深圳市宝安区投资管理有限公司,5.57,73,top10_holder
000009.SZ,2020-04-29,李松强,4.95,74,top10_holder
000009.SZ,2020-04-29,香港中央结算有限公司(陆股通),0.92,1,top10_holder
000009.SZ,2020-04-29,市房地产建设开发公司,0.86,75,top10_holder
000009.SZ,2020-04-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.81,48,top10_holder
000009.SZ,2020-04-29,全国社保基金一一八组合,0.71,7,top10_holder
000009.SZ,2020-04-29,中国建设银行股份有限公司-华夏能源革新股票型证券投资基金,0.65,19,top10_holder
000009.SZ,2020-04-29,李念彪,0.43,76,top10_holder
000009.SZ,2020-04-29,聂仁和,0.82,77,top10_holder
000009.SZ,2020-04-29,欧阳学荣,0.69,78,top10_holder
000010.SZ,2020-04-30,博正资本投资有限公司,1.84,79,top10_holder
000010.SZ,2020-04-30,佳源创盛控股集团有限公司,14.57,80,top10_holder
000010.SZ,2020-04-30,红信鼎通资本管理有限公司,5.43,81,top10_holder
000010.SZ,2020-04-30,江阴鑫诚业展投资管理企业(有限合伙),4.77,82,top10_holder
000010.SZ,2020-04-30,保达投资管理(平潭)有限公司,4.63,83,top10_holder
000010.SZ,2020-04-30,信达投资有限公司,3.51,84,top10_holder
000010.SZ,2020-04-30,刘艳,3.08,85,top10_holder
000010.SZ,2020-04-30,太平洋证券股份有限公司,3.0,86,top10_holder
000010.SZ,2020-04-30,孙财亮,2.77,87,top10_holder
000010.SZ,2020-04-30,新余瑞达投资有限公司,2.59,88,top10_holder
000011.SZ,2020-04-30,深圳市投资控股有限公司,57.96,89,top10_holder
000011.SZ,2020-04-30,中国东方资产管理股份有限公司,5.87,90,top10_holder
000011.SZ,2020-04-30,段少腾,0.32,91,top10_holder
000011.SZ,2020-04-30,深圳市免税商品企业有限公司,0.29,92,top10_holder
000011.SZ,2020-04-30,杨耀初,0.24,93,top10_holder
000011.SZ,2020-04-30,李京,0.23,94,top10_holder
000011.SZ,2020-04-30,汕头市置业合信有限公司,0.23,95,top10_holder
000011.SZ,2020-04-30,兴业证券股份有限公司-博道久航混合型证券投资基金,0.21,96,top10_holder
000011.SZ,2020-04-30,麦富容,0.2,97,top10_holder
000011.SZ,2020-04-30,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金,0.18,19,top10_holder
000012.SZ,2020-04-30,VANGUARD EMERGING MARKETS STOCK INDEX FUND,0.62,98,top10_holder
000012.SZ,2020-04-30,前海人寿保险股份有限公司-海利年年,15.01,99,top10_holder
000012.SZ,2020-04-30,前海人寿保险股份有限公司-万能型保险产品,3.81,99,top10_holder
000012.SZ,2020-04-30,前海人寿保险股份有限公司-自有资金,2.08,99,top10_holder
000012.SZ,2020-04-30,中国银河国际证券(香港)有限公司,1.33,100,top10_holder
000012.SZ,2020-04-30,中山润田投资有限公司,2.79,101,top10_holder
000012.SZ,2020-04-30,中央汇金资产管理有限责任公司,1.86,4,top10_holder
000012.SZ,2020-04-30,香港中央结算有限公司(陆股通),1.8,1,top10_holder
000012.SZ,2020-04-30,招商证券香港有限公司,1.05,102,top10_holder
000012.SZ,2020-04-30,深国际控股(深圳)有限公司,0.94,103,top10_holder
000012.SZ,2020-04-30,UBS AG,1.14,104,top10_holder
000012.SZ,2020-04-30,深圳市钜盛华股份有限公司,2.79,13,top10_holder
000014.SZ,2020-04-25,深业沙河(集团)有限公司,34.02,105,top10_holder
000014.SZ,2020-04-25,李剑霆,1.51,106,top10_holder
000014.SZ,2020-04-25,张沐城,1.09,107,top10_holder
000014.SZ,2020-04-25,彭凌云,0.99,108,top10_holder
000014.SZ,2020-04-25,洪祖芳,0.89,109,top10_holder
