companyId:ID(Company),name:string,fullname:string,:LABEL
000001.SZ,平安银行,平安银行股份有限公司,Company
000002.SZ,万科A,万科企业股份有限公司,Company
000005.SZ,世纪星源,深圳世纪星源股份有限公司,Company
000006.SZ,深振业A,深圳市振业(集团)股份有限公司,Company
000007.SZ,全新好,深圳市全新好股份有限公司,Company
000009.SZ,中国宝安,中国宝安集团股份有限公司,Company
000011.SZ,深物业A,深圳市物业发展(集团)股份有限公司,Company
000014.SZ,沙河股份,沙河实业股份有限公司,Company
000021.SZ,深科技,深圳长城开发科技股份有限公司,Company
000029.SZ,深深房A,深圳经济特区房地产(集团)股份有限公司,Company
000031.SZ,大悦城,大悦城控股集团股份有限公司,Company
000032.SZ,深桑达A,深圳市桑达实业股份有限公司,Company
000035.SZ,中国天楹,中国天楹股份有限公司,Company
000036.SZ,华联控股,华联控股股份有限公司,Company
000038.SZ,深大通,深圳大通实业股份有限公司,Company
000040.SZ,东旭蓝天,东旭蓝天新能源股份有限公司,Company
000042.SZ,中洲控股,深圳市中洲投资控股股份有限公司,Company
000046.SZ,泛海控股,泛海控股股份有限公司,Company
000056.SZ,皇庭国际,深圳市皇庭国际企业股份有限公司,Company
000060.SZ,中金岭南,深圳市中金岭南有色金属股份有限公司,Company
000063.SZ,中兴通讯,中兴通讯股份有限公司,Company
000066.SZ,中国长城,中国长城科技集团股份有限公司,Company
000069.SZ,华侨城A,深圳华侨城股份有限公司,Company
000070.SZ,特发信息,深圳市特发信息股份有限公司,Company
000166.SZ,申万宏源,申万宏源集团股份有限公司,Company
000402.SZ,金融街,金融街控股股份有限公司,Company
000415.SZ,渤海租赁,渤海租赁股份有限公司,Company
000426.SZ,兴业矿业,内蒙古兴业矿业股份有限公司,Company
000428.SZ,华天酒店,华天酒店集团股份有限公司,Company
000430.SZ,张家界,张家界旅游集团股份有限公司,Company
000502.SZ,绿景控股,绿景控股股份有限公司,Company
000503.SZ,国新健康,国新健康保障服务集团股份有限公司,Company
000505.SZ,京粮控股,海南京粮控股股份有限公司,Company
000506.SZ,中润资源,中润资源投资股份有限公司,Company
000510.SZ,新金路,四川新金路集团股份有限公司,Company
000514.SZ,渝开发,重庆渝开发股份有限公司,Company
000517.SZ,荣安地产,荣安地产股份有限公司,Company
000523.SZ,广州浪奇,广州市浪奇实业股份有限公司,Company
000524.SZ,岭南控股,广州岭南集团控股股份有限公司,Company
000526.SZ,紫光学大,厦门紫光学大股份有限公司,Company
000532.SZ,华金资本,珠海华金资本股份有限公司,Company
000534.SZ,万泽股份,万泽实业股份有限公司,Company
000537.SZ,广宇发展,天津广宇发展股份有限公司,Company
000540.SZ,中天金融,中天金融集团股份有限公司,Company
000545.SZ,金浦钛业,金浦钛业股份有限公司,Company
000547.SZ,航天发展,航天工业发展股份有限公司,Company
000555.SZ,神州信息,神州数码信息服务股份有限公司,Company
000558.SZ,莱茵体育,莱茵达体育发展股份有限公司,Company
000561.SZ,烽火电子,陕西烽火电子股份有限公司,Company
000563.SZ,陕国投A,陕西省国际信托股份有限公司,Company
000565.SZ,渝三峡A,重庆三峡油漆股份有限公司,Company
000567.SZ,海德股份,海南海德资本管理股份有限公司,Company
000573.SZ,粤宏远A,东莞宏远工业区股份有限公司,Company
000586.SZ,汇源通信,四川汇源光通信股份有限公司,Company
000587.SZ,*ST金洲,金洲慈航集团股份有限公司,Company
000603.SZ,盛达资源,盛达金属资源股份有限公司,Company
000608.SZ,阳光股份,阳光新业地产股份有限公司,Company
000609.SZ,中迪投资,北京中迪投资股份有限公司,Company
000610.SZ,西安旅游,西安旅游股份有限公司,Company
000612.SZ,焦作万方,焦作万方铝业股份有限公司,Company
000613.SZ,大东海A,海南大东海旅游中心股份有限公司,Company
000616.SZ,海航投资,海航投资集团股份有限公司,Company
000620.SZ,新华联,新华联文化旅游发展股份有限公司,Company
000627.SZ,天茂集团,天茂实业集团股份有限公司,Company
000630.SZ,铜陵有色,铜陵有色金属集团股份有限公司,Company
000631.SZ,顺发恒业,顺发恒业股份公司,Company
000635.SZ,英力特,宁夏英力特化工股份有限公司,Company
000656.SZ,金科股份,金科地产集团股份有限公司,Company
000657.SZ,中钨高新,中钨高新材料股份有限公司,Company
000662.SZ,*ST天夏,天夏智慧城市科技股份有限公司,Company
000667.SZ,美好置业,美好置业集团股份有限公司,Company
000668.SZ,荣丰控股,荣丰控股集团股份有限公司,Company
000671.SZ,阳光城,阳光城集团股份有限公司,Company
000681.SZ,视觉中国,视觉(中国)文化发展股份有限公司,Company
000683.SZ,远兴能源,内蒙古远兴能源股份有限公司,Company
000686.SZ,东北证券,东北证券股份有限公司,Company
000691.SZ,亚太实业,海南亚太实业发展股份有限公司,Company
000697.SZ,炼石航空,炼石航空科技股份有限公司,Company
