name,holderId:ID(Holder),:LABEL
李慧琼,0,Holder
新疆天业,1,Holder
石河子锦富国有资本投资运营,2,Holder
上海银叶投资,3,Holder
万家共赢,4,Holder
石河子城建设投资,5,Holder
石河子国资资本运营,6,Holder
金石期货,7,Holder
北京成阳资产管理,8,Holder
海富通基金,9,Holder
谈翼鹏,10,Holder
江阴澄星实业,11,Holder
江阴汉盈投资,12,Holder
吴海燕,13,Holder
中国证券金融,14,Holder
饶张义,15,Holder
梁洁,16,Holder
王欢,17,Holder
杜雷,18,Holder
姚波,19,Holder
陈尚军,20,Holder
唐领,21,Holder
刘文华,22,Holder
徐开东,23,Holder
罗威,24,Holder
李琦森,25,Holder
池连安,26,Holder
浙江恒际实业发展,27,Holder
包头北大明天资源科技,28,Holder
正元投资,29,Holder
杨彩红,30,Holder
中国乐凯,31,Holder
眉山彭山鑫城产业投资,32,Holder
华夏人寿保险,33,Holder
康闳博,34,Holder
王鹏,35,Holder
顾永涛,36,Holder
赵玉璞,37,Holder
林秀伟,38,Holder
杨晓丹,39,Holder
宜昌兴发,40,Holder
浙江金帆达生化,41,Holder
北信瑞丰资管,42,Holder
中央汇金资产管理,43,Holder
华融瑞通股权投资管理,44,Holder
中国人民财产保险,45,Holder
中国华融资产管理,46,Holder
宜昌国有资本投资控股,47,Holder
湖北晟隆达科技,48,Holder
宜昌夷陵国有资产经营,49,Holder
华创阳安,50,Holder
南方希望实业,51,Holder
新希望化工投资,52,Holder
宁波梅山保税港区明新日异股权投资合伙企业,53,Holder
北京东方君盛投资管理,54,Holder
江苏沙钢,55,Holder
贵州盘江精煤,56,Holder
中国贵州茅台酒厂,57,Holder
上海杉融实业,58,Holder
贵州现代物流产业,59,Holder
中金丰汇股票型养老金产品,60,Holder
陈征平,61,Holder
周新强,62,Holder
汇添富基金,63,Holder
香港中央结算,64,Holder
浙江巨化投资,65,Holder
浙江浙盐控股,66,Holder
袁志敏,67,Holder
巨化,68,Holder
戴文妹,69,Holder
江西昌九,70,Holder
毛良玉,71,Holder
李江,72,Holder
孙佳颖,73,Holder
严月珍,74,Holder
曹洪涛,75,Holder
孙军忠,76,Holder
魏春玲,77,Holder
卢文凤,78,Holder
中航信托,79,Holder
胡森,80,Holder
陈超,81,Holder
青岛经济开发投资,82,Holder
侯素梅,83,Holder
朱善永,84,Holder
青岛国信发展,85,Holder
罗予频,86,Holder
青岛出版置业,87,Holder
青岛出版,88,Holder
柳州经发投资,89,Holder
广西柳州产业投资发展,90,Holder
王红晓,91,Holder
孙磊,92,Holder
杜群,93,Holder
柳州两面针旅游用品厂,94,Holder
李斌,95,Holder
杜永强,96,Holder
管建忠,97,Holder
浙江嘉化,98,Holder
嘉化,99,Holder
浙江嘉化能源化工回购专用证券账户,100,Holder
嘉兴聚力肆号股权投资合伙企业,101,Holder
嘉兴聚力壹号股权投资合伙企业,102,Holder
郑素丽,103,Holder
东吴金融科技,104,Holder
郑安坤,105,Holder
方正东亚信托,106,Holder
亿利资源,107,Holder
宁波梅山保税港区东峪投资合伙企业,108,Holder
金元顺安基金,109,Holder
财通基金,110,Holder
武汉睿福德投资管理中心,111,Holder
西藏博恩资产管理,112,Holder
赵锡凯,113,Holder
宋娜,114,Holder
尹改荣,115,Holder
宫国翔,116,Holder
陈素芳,117,Holder
吴大忠,118,Holder
吕秋白,119,Holder
李宝奇,120,Holder
山西太钢投资,121,Holder
深圳绿色半导体照明,122,Holder
胡殿君,123,Holder
太原化学工业,124,Holder
挪威中央银行,125,Holder
基本养老保险基金九零三组合,126,Holder
浙江大众进出口,127,Holder
北京橡胶工业研究设计院,128,Holder
中国电子投资控股,129,Holder
江苏聚合创意新兴产业投资基金,130,Holder
蓝星,131,Holder
中国蓝星,132,Holder
南宁产业投资,133,Holder
孙伟,134,Holder
南宁化工,135,Holder
蓝歆旻,136,Holder
陈林妹,137,Holder
许静波,138,Holder
熊劭春,139,Holder
陈晔,140,Holder
陆健,141,Holder
柴徐华,142,Holder
全国社保基金,143,Holder
烟台国丰投资控股,144,Holder
Prime Partner International Limited,145,Holder
烟台中诚投资,146,Holder
宁波中凯信创业投资,147,Holder
孙惠刚,148,Holder
北京德杰汇通科技,149,Holder
上海家化,150,Holder
国泰君安证券资管,151,Holder
上海太富祥尔股权投资基金合伙企业,152,Holder
上海重阳战略投资,153,Holder
中国平安人寿保险,154,Holder
上海久事,155,Holder
上海高毅资产管理合伙企业,156,Holder
深圳长城汇理三号专项投资企业,157,Holder
深圳中安汇银四号专项投资企业,158,Holder
余振冀,159,Holder
深圳中安鼎奇三号专项投资企业,160,Holder
深圳中安鼎奇二号专项投资企业,161,Holder
深圳中安汇银,162,Holder
潍坊亚星,163,Holder
北京光耀东方商业管理,164,Holder
兴证证券资管,165,Holder
中盐吉兰泰盐化,166,Holder
中国国际金融,167,Holder
湖南轻盐创业投资管理,168,Holder
宁波梅山保税港区天赪汇丰投资管理合伙企业,169,Holder
中核,170,Holder
华泰资管,171,Holder
惠州讯威股权投资合伙企业,172,Holder
北信瑞丰基金,173,Holder
中国人民人寿保险,174,Holder
中国人民健康保险,175,Holder
九泰基金,176,Holder
武汉长石鑫工贸,177,Holder
弘湾资本管理,178,Holder
新疆天利石化控股,179,Holder
中国石油工程服务,180,Holder
中国石油天然气,181,Holder
阮兴祥,182,Holder
阮水龙,183,Holder
阮伟祥,184,Holder
项志峰,185,Holder
浙江龙盛,186,Holder
张世居,187,Holder
