:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Holder),:TYPE
600075.SH,2020-10-16,李慧琼,1.35,0,hold_stock
600075.SH,2020-10-16,新疆天业(集团)有限公司,53.57,1,hold_stock
600075.SH,2020-10-16,石河子市锦富国有资本投资运营有限公司,4.98,2,hold_stock
600075.SH,2020-10-16,上海银叶投资有限公司-银叶攻玉5号私募证券投资基金,2.24,3,hold_stock
600075.SH,2020-10-16,万家共赢-中信银行-万家共赢安泰1号专项资产管理计划,1.98,4,hold_stock
600075.SH,2020-10-16,石河子城市建设投资集团有限公司,1.78,5,hold_stock
600075.SH,2020-10-16,石河子国资资本运营有限公司,1.61,6,hold_stock
600075.SH,2020-10-16,金石期货有限公司-中新建招商股权投资有限公司,1.39,7,hold_stock
600075.SH,2020-10-16,北京成阳资产管理有限公司-成阳淳丰3号私募证券投资基金,1.24,8,hold_stock
600075.SH,2020-10-16,海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划,1.21,9,hold_stock
600078.SH,2020-10-31,谈翼鹏,0.25,10,hold_stock
600078.SH,2020-10-31,江阴澄星实业集团有限公司,25.78,11,hold_stock
600078.SH,2020-10-31,江阴汉盈投资有限公司,16.01,12,hold_stock
600078.SH,2020-10-31,吴海燕,2.3,13,hold_stock
600078.SH,2020-10-31,中国证券金融股份有限公司,0.39,14,hold_stock
600078.SH,2020-10-31,饶张义,0.29,15,hold_stock
600078.SH,2020-10-31,梁洁,0.28,16,hold_stock
600078.SH,2020-10-31,王欢,0.27,17,hold_stock
600078.SH,2020-10-31,杜雷,0.24,18,hold_stock
600078.SH,2020-10-31,姚波,0.23,19,hold_stock
600091.SH,2020-10-30,陈尚军,0.54,20,hold_stock
600091.SH,2020-10-30,唐领,0.62,21,hold_stock
600091.SH,2020-10-30,刘文华,0.74,22,hold_stock
600091.SH,2020-10-30,徐开东,0.92,23,hold_stock
600091.SH,2020-10-30,罗威,1.06,24,hold_stock
600091.SH,2020-10-30,李琦森,1.07,25,hold_stock
600091.SH,2020-10-30,池连安,2.31,26,hold_stock
600091.SH,2020-10-30,浙江恒际实业发展有限公司,3.26,27,hold_stock
600091.SH,2020-10-30,包头北大明天资源科技有限公司,3.43,28,hold_stock
600091.SH,2020-10-30,正元投资有限公司,34.6,29,hold_stock
600135.SH,2020-10-30,杨彩红,0.18,30,hold_stock
600135.SH,2020-10-30,中国乐凯集团有限公司,45.68,31,hold_stock
600135.SH,2020-10-30,眉山市彭山鑫城产业投资有限公司,9.9,32,hold_stock
600135.SH,2020-10-30,华夏人寿保险股份有限公司-万能保险产品,0.82,33,hold_stock
600135.SH,2020-10-30,康闳博,0.81,34,hold_stock
600135.SH,2020-10-30,王鹏,0.25,35,hold_stock
600135.SH,2020-10-30,顾永涛,0.24,36,hold_stock
600135.SH,2020-10-30,赵玉璞,0.23,37,hold_stock
600135.SH,2020-10-30,林秀伟,0.19,38,hold_stock
600135.SH,2020-10-30,杨晓丹,0.19,39,hold_stock
600141.SH,2020-10-16,宜昌兴发集团有限责任公司,22.81,40,hold_stock
600141.SH,2020-10-16,浙江金帆达生化股份有限公司,17.9,41,hold_stock
600141.SH,2020-10-16,北信瑞丰资管-非凡资产管理翠竹13W理财产品周四公享01款-上海北信民生凤凰13号单一资产管理计划,3.18,42,hold_stock
600141.SH,2020-10-16,中央汇金资产管理有限责任公司,1.82,43,hold_stock
600141.SH,2020-10-16,华融瑞通股权投资管理有限公司,1.71,44,hold_stock
600141.SH,2020-10-16,中国人民财产保险股份有限公司,1.59,45,hold_stock
600141.SH,2020-10-16,中国华融资产管理股份有限公司,1.59,46,hold_stock
600141.SH,2020-10-16,宜昌国有资本投资控股集团有限公司,1.59,47,hold_stock
600141.SH,2020-10-16,湖北晟隆达科技有限公司,1.59,48,hold_stock
600141.SH,2020-10-16,宜昌市夷陵国有资产经营有限公司,1.23,49,hold_stock
600155.SH,2020-10-30,华创阳安股份有限公司-第二期员工持股计划,2.84,50,hold_stock
600155.SH,2020-10-30,南方希望实业有限公司,6.41,51,hold_stock
600155.SH,2020-10-30,新希望化工投资有限公司,9.69,52,hold_stock
600155.SH,2020-10-30,宁波梅山保税港区明新日异股权投资合伙企业(有限合伙),3.13,53,hold_stock
600155.SH,2020-10-30,北京东方君盛投资管理有限公司,3.25,54,hold_stock
600155.SH,2020-10-30,江苏沙钢集团有限公司,3.98,55,hold_stock
600155.SH,2020-10-30,贵州盘江精煤股份有限公司,4.11,56,hold_stock
600155.SH,2020-10-30,中国贵州茅台酒厂(集团)有限责任公司,5.16,57,hold_stock
600155.SH,2020-10-30,上海杉融实业有限公司,7.18,58,hold_stock
600155.SH,2020-10-30,贵州现代物流产业(集团)有限责任公司,6.21,59,hold_stock
600160.SH,2020-10-30,中金丰汇股票型养老金产品-中国建设银行股份有限公司,0.36,60,hold_stock
600160.SH,2020-10-30,陈征平,0.38,61,hold_stock
600160.SH,2020-10-30,周新强,0.38,62,hold_stock
600160.SH,2020-10-30,中国证券金融股份有限公司,0.52,14,hold_stock
600160.SH,2020-10-30,汇添富基金-俞红-汇添富-添富牛190号单一资产管理计划,1.07,63,hold_stock
600160.SH,2020-10-30,香港中央结算有限公司(陆股通),2.07,64,hold_stock
600160.SH,2020-10-30,浙江巨化投资有限公司,2.21,65,hold_stock
600160.SH,2020-10-30,浙江浙盐控股有限公司,2.39,66,hold_stock
600160.SH,2020-10-30,袁志敏,5.0,67,hold_stock
600160.SH,2020-10-30,巨化集团有限公司,52.7,68,hold_stock
600228.SH,2020-10-31,戴文妹,0.38,69,hold_stock
600228.SH,2020-10-31,江西昌九集团有限公司,25.58,70,hold_stock
600228.SH,2020-10-31,毛良玉,1.36,71,hold_stock
600228.SH,2020-10-31,李江,0.71,72,hold_stock
600228.SH,2020-10-31,孙佳颖,0.57,73,hold_stock
600228.SH,2020-10-31,严月珍,0.48,74,hold_stock
600228.SH,2020-10-31,曹洪涛,0.47,75,hold_stock
600228.SH,2020-10-31,孙军忠,0.45,76,hold_stock
600228.SH,2020-10-31,魏春玲,0.42,77,hold_stock
600228.SH,2020-10-31,卢文凤,0.4,78,hold_stock
