:START_ID(Industry),:END_ID(Company),:TYPE
0,600075.SH,in_industry
0,600078.SH,in_industry
0,600091.SH,in_industry
0,600135.SH,in_industry
0,600141.SH,in_industry
0,600155.SH,in_industry
0,600160.SH,in_industry
0,600228.SH,in_industry
0,600229.SH,in_industry
0,600249.SH,in_industry
0,600273.SH,in_industry
0,600277.SH,in_industry
0,600281.SH,in_industry
0,600299.SH,in_industry
0,600301.SH,in_industry
0,600309.SH,in_industry
0,600315.SH,in_industry
0,600319.SH,in_industry
0,600328.SH,in_industry
0,600339.SH,in_industry
0,600352.SH,in_industry
0,600367.SH,in_industry
0,600378.SH,in_industry
0,600409.SH,in_industry
0,600481.SH,in_industry
0,600490.SH,in_industry
0,600599.SH,in_industry
0,600618.SH,in_industry
0,600636.SH,in_industry
0,600722.SH,in_industry
0,600746.SH,in_industry
0,600844.SH,in_industry
0,600985.SH,in_industry
0,601118.SH,in_industry
0,601208.SH,in_industry
0,601216.SH,in_industry
0,601678.SH,in_industry
0,603002.SH,in_industry
0,603010.SH,in_industry
0,603077.SH,in_industry
0,603188.SH,in_industry
0,000510.SZ,in_industry
0,000523.SZ,in_industry
0,000545.SZ,in_industry
0,000565.SZ,in_industry
0,000627.SZ,in_industry
0,000635.SZ,in_industry
0,000662.SZ,in_industry
0,000683.SZ,in_industry
0,000698.SZ,in_industry
0,000707.SZ,in_industry
0,000737.SZ,in_industry
0,000755.SZ,in_industry
0,000818.SZ,in_industry
0,000822.SZ,in_industry
0,000887.SZ,in_industry
0,000985.SZ,in_industry
0,000990.SZ,in_industry
0,002010.SZ,in_industry
0,002014.SZ,in_industry
0,002037.SZ,in_industry
0,002053.SZ,in_industry
0,002054.SZ,in_industry
0,002061.SZ,in_industry
0,002068.SZ,in_industry
0,002092.SZ,in_industry
0,002094.SZ,in_industry
0,002096.SZ,in_industry
0,002109.SZ,in_industry
0,002125.SZ,in_industry
0,002136.SZ,in_industry
0,002145.SZ,in_industry
0,002165.SZ,in_industry
0,002192.SZ,in_industry
0,002201.SZ,in_industry
0,002211.SZ,in_industry
0,002217.SZ,in_industry
0,002224.SZ,in_industry
0,002226.SZ,in_industry
0,002246.SZ,in_industry
0,002250.SZ,in_industry
0,002256.SZ,in_industry
0,002319.SZ,in_industry
0,002326.SZ,in_industry
0,002341.SZ,in_industry
0,002360.SZ,in_industry
0,002361.SZ,in_industry
0,002377.SZ,in_industry
0,002381.SZ,in_industry
0,002386.SZ,in_industry
0,002395.SZ,in_industry
0,002407.SZ,in_industry
0,002408.SZ,in_industry
0,002409.SZ,in_industry
0,002411.SZ,in_industry
0,002440.SZ,in_industry
0,002442.SZ,in_industry
0,002450.SZ,in_industry
0,002453.SZ,in_industry
0,002455.SZ,in_industry
0,002466.SZ,in_industry
0,002476.SZ,in_industry
0,002497.SZ,in_industry
0,002562.SZ,in_industry
0,002581.SZ,in_industry
0,002584.SZ,in_industry
0,002597.SZ,in_industry
0,002601.SZ,in_industry
0,002632.SZ,in_industry
0,002637.SZ,in_industry
0,002643.SZ,in_industry
0,002648.SZ,in_industry
0,002666.SZ,in_industry
0,002669.SZ,in_industry
0,002683.SZ,in_industry
0,002709.SZ,in_industry
0,002741.SZ,in_industry
0,002748.SZ,in_industry
0,300019.SZ,in_industry
0,300031.SZ,in_industry
0,300037.SZ,in_industry
0,300041.SZ,in_industry
0,300054.SZ,in_industry
0,300063.SZ,in_industry
0,300067.SZ,in_industry
0,300072.SZ,in_industry
0,300082.SZ,in_industry
0,300107.SZ,in_industry
0,300108.SZ,in_industry
0,300109.SZ,in_industry
0,300121.SZ,in_industry
0,300132.SZ,in_industry
0,300135.SZ,in_industry
0,300174.SZ,in_industry
0,300192.SZ,in_industry
0,300200.SZ,in_industry
0,300214.SZ,in_industry
